30.59 N 114.3 E,http://www.wikidata.org/entity/Q11746
35.92 N 74.33 E,http://www.wikidata.org/entity/Q609024
39.54 N 116.23 E,http://www.wikidata.org/entity/Q198244
Afghanistan,http://www.wikidata.org/entity/Q889
Albania,http://www.wikidata.org/entity/Q222
Algeria,http://www.wikidata.org/entity/Q262
Andorra,http://www.wikidata.org/entity/Q228
Angola,http://www.wikidata.org/entity/Q916
Antigua and Barbuda,http://www.wikidata.org/entity/Q781
Argentina,http://www.wikidata.org/entity/Q414
Armenia,http://www.wikidata.org/entity/Q399
Australia,http://www.wikidata.org/entity/Q408
Australia: Queensland,http://www.wikidata.org/entity/Q36074
Australia: Victoria,http://www.wikidata.org/entity/Q36687
Austria,http://www.wikidata.org/entity/Q40
Azerbaijan,http://www.wikidata.org/entity/Q227
Bahrain,http://www.wikidata.org/entity/Q398
Bangladesh,http://www.wikidata.org/entity/Q902
Barbados,http://www.wikidata.org/entity/Q244
Belarus,http://www.wikidata.org/entity/Q184
Belgium,http://www.wikidata.org/entity/Q31
Belize,http://www.wikidata.org/entity/Q242
Benin,http://www.wikidata.org/entity/Q962
Bhutan,http://www.wikidata.org/entity/Q917
Bolivia,http://www.wikidata.org/entity/Q750
Bosnia and Herzegovina,http://www.wikidata.org/entity/Q225
Botswana,http://www.wikidata.org/entity/Q963
Brazil,http://www.wikidata.org/entity/Q155
Brunei,http://www.wikidata.org/entity/Q921
Bulgaria,http://www.wikidata.org/entity/Q219
Burkina Faso,http://www.wikidata.org/entity/Q965
Burundi,http://www.wikidata.org/entity/Q967
Cambodia,http://www.wikidata.org/entity/Q424
Cameroon,http://www.wikidata.org/entity/Q1009
Canada,http://www.wikidata.org/entity/Q16
Cape Verde,http://www.wikidata.org/entity/Q1011
Central African Republic,http://www.wikidata.org/entity/Q929
Chad,http://www.wikidata.org/entity/Q657
Chile,http://www.wikidata.org/entity/Q298
China,http://www.wikidata.org/entity/Q148
China: Anhui,http://www.wikidata.org/entity/Q40956
China: Beijing,http://www.wikidata.org/entity/Q956
China: Chongqing,http://www.wikidata.org/entity/Q11725
China: Fujian,http://www.wikidata.org/entity/Q41705
China: Gansu,http://www.wikidata.org/entity/Q42392
China: Guangdong,http://www.wikidata.org/entity/Q15175
"China: Guangdong, Guangzhou",http://www.wikidata.org/entity/Q16572
China: Guangxi Zhuang Autonomous Region,http://www.wikidata.org/entity/Q15176
China: Guangzhou,http://www.wikidata.org/entity/Q16572
China: Guizhou,http://www.wikidata.org/entity/Q47097
China: Hainan,http://www.wikidata.org/entity/Q42200
China: Hebei,http://www.wikidata.org/entity/Q21208
China: Heilongjiang,http://www.wikidata.org/entity/Q19206
China: Henan,http://www.wikidata.org/entity/Q43684
China: Hong Kong,http://www.wikidata.org/entity/Q8646
China: HuaShang,http://www.wikidata.org/entity/Q148
China: Hubei,http://www.wikidata.org/entity/Q46862
"China: Hubei, Wuhan",http://www.wikidata.org/entity/Q11746
China: Hunan,http://www.wikidata.org/entity/Q45761
China: Inner Mongolia,http://www.wikidata.org/entity/Q41079
China: Jiangsu,http://www.wikidata.org/entity/Q16963
China: Jiangxi,http://www.wikidata.org/entity/Q57052
China: Jilin,http://www.wikidata.org/entity/Q45208
China: Liaoning,http://www.wikidata.org/entity/Q43934
China: Macau,http://www.wikidata.org/entity/Q14773
China: Ningxia Hui Autonomous Region,http://www.wikidata.org/entity/Q57448
China: Qinghai,http://www.wikidata.org/entity/Q45833
China: Shaanxi,http://www.wikidata.org/entity/Q47974
China: Shandong,http://www.wikidata.org/entity/Q43407
China: Shanghai,http://www.wikidata.org/entity/Q8686
China: Shanxi,http://www.wikidata.org/entity/Q46913
China: Shenzhen,http://www.wikidata.org/entity/Q15174
China: Sichuan,http://www.wikidata.org/entity/Q19770
China: Tianjin,http://www.wikidata.org/entity/Q11736
China: Tibet Autonomous Region,http://www.wikidata.org/entity/Q17269
China: Wuhan,http://www.wikidata.org/entity/Q11746
China:Wuhan,http://www.wikidata.org/entity/Q11746
China: Xinjiang,http://www.wikidata.org/entity/Q34800
China: Yunnan,http://www.wikidata.org/entity/Q43194
China: Zhejiang,http://www.wikidata.org/entity/Q16967
"China: Zhejiang, Hangzhou",http://www.wikidata.org/entity/Q4970
Colombia,http://www.wikidata.org/entity/Q739
Colombia: Antioquia,http://www.wikidata.org/entity/Q123304
Comoros,http://www.wikidata.org/entity/Q970
Costa Rica,http://www.wikidata.org/entity/Q800
Croatia,http://www.wikidata.org/entity/Q224
Cuba,http://www.wikidata.org/entity/Q241
Czech Republic,http://www.wikidata.org/entity/Q213
Democratic Republic of the Congo,http://www.wikidata.org/entity/Q974
Denmark,http://www.wikidata.org/entity/Q35
Djibouti,http://www.wikidata.org/entity/Q977
Dominica,http://www.wikidata.org/entity/Q784
Dominican Republic,http://www.wikidata.org/entity/Q786
East Timor,http://www.wikidata.org/entity/Q574
Ecuador,http://www.wikidata.org/entity/Q736
Egypt,http://www.wikidata.org/entity/Q79
El Salvador,http://www.wikidata.org/entity/Q792
Equatorial Guinea,http://www.wikidata.org/entity/Q983
Eritrea,http://www.wikidata.org/entity/Q986
Estado Libre del Istmo,http://www.wikidata.org/entity/Q8842943
Estonia,http://www.wikidata.org/entity/Q191
Eswatini,http://www.wikidata.org/entity/Q1050
